start,end,start(ms),end(ms),I0(pA),I1(pA),begin
2042792,2042845,4085.584000,4085.690000,-11346.511155,-11058.600562,2042820
2095863,2095923,4191.726000,4191.846000,-11345.338404,-11132.190358,2095894
2112891,2112911,4225.782000,4225.822000,-11355.022640,-11180.495117,2112911
2138634,2138647,4277.268000,4277.294000,-11356.464935,-11176.010742,2138647
2240763,2240821,4481.526000,4481.642000,-11361.265600,-11121.394281,2240796
2243352,2243433,4486.704000,4486.866000,-11363.574598,-11095.688995,2243386
2337993,2338151,4675.986000,4676.302000,-11368.066184,-11065.441076,2338031
2356965,2357095,4713.930000,4714.190000,-11366.927366,-11096.197347,2357021
2383729,2383757,4767.458000,4767.514000,-11365.000567,-11148.372628,2383757
2412756,2412777,4825.512000,4825.554000,-11364.273615,-11141.588623,2412777
2448233,2448376,4896.466000,4896.752000,-11372.354445,-11094.410256,2448268
2471024,2471065,4942.048000,4942.130000,-11367.501176,-11110.180514,2471065
2489739,2489834,4979.478000,4979.668000,-11369.975779,-11116.584640,2489782
2498362,2498390,4996.724000,4996.780000,-11367.703757,-11111.068490,2498390
2506300,2506327,5012.600000,5012.654000,-11377.674093,-11182.933036,2506327
2591364,2591700,5182.728000,5183.400000,-11366.230103,-11096.686414,2591390
2611686,2611772,5223.372000,5223.544000,-11370.744320,-11091.538584,2611743
2623251,2623335,5246.502000,5246.670000,-11360.540604,-11064.156348,2623288
2641567,2641596,5283.134000,5283.192000,-11354.151910,-11061.150472,2641596
2683851,2684144,5367.702000,5368.288000,-11367.658954,-11070.641506,2683890
2759110,2759201,5518.220000,5518.402000,-11372.721469,-11102.024229,2759140
2810245,2810285,5620.490000,5620.570000,-11366.335924,-11170.336100,2810285
2810304,2810321,5620.608000,5620.642000,-11366.352549,-11199.255371,2810321
2853850,2854379,5707.700000,5708.758000,-11364.838473,-11066.678138,2853889
2880447,2880548,5760.894000,5761.096000,-11367.461620,-11109.486344,2880499
2925469,2945915,5850.938000,5891.830000,-11363.773147,-11073.553252,2925525
2952469,2952506,5904.938000,5905.012000,-11369.503702,-11070.637240,2952506
2956634,2956914,5913.268000,5913.828000,-11368.536343,-11171.343625,2956658
3006487,3006531,6012.974000,6013.062000,-11370.094585,-11120.690918,3006531
3018541,3018562,6037.082000,6037.124000,-11375.319814,-11169.821010,3018562
3034747,3035259,6069.494000,6070.518000,-11376.323683,-11070.715698,3034787
3048972,3049062,6097.944000,6098.124000,-11362.224573,-11069.310929,3049008
3117457,3117478,6234.914000,6234.956000,-11359.695267,-11184.994141,3117478
3125168,3125250,6250.336000,6250.500000,-11366.821189,-11098.640567,3125196
3128521,3128538,6257.042000,6257.076000,-11370.713844,-11177.267578,3128538
3191789,3191816,6383.578000,6383.632000,-11374.735772,-11137.917383,3191816
3191987,3192050,6383.974000,6384.100000,-11374.551445,-11117.955139,3192017
3221463,3221498,6442.926000,6442.996000,-11375.789029,-11224.847168,3221498
3224850,3224896,6449.700000,6449.792000,-11376.700650,-11139.610677,3224896
3239830,3239850,6479.660000,6479.700000,-11370.549507,-11210.265381,3239850
3241683,3241862,6483.366000,6483.724000,-11374.719052,-11093.090802,3241714
3275017,3278665,6550.034000,6557.330000,-11368.659187,-11070.751811,3275047
3294636,3294693,6589.272000,6589.386000,-11381.362910,-11092.554665,3294661
3312473,3312552,6624.946000,6625.104000,-11379.465859,-11081.823382,3312505
3340379,3340406,6680.758000,6680.812000,-11382.550977,-11137.073509,3340406
3345697,3345856,6691.394000,6691.712000,-11379.768036,-11131.581485,3345753
3345968,3346139,6691.936000,6692.278000,-11379.512971,-11131.542876,3345992
3359366,3359391,6718.732000,6718.782000,-11377.411779,-11111.633219,3359391
3374477,3374512,6748.954000,6749.024000,-11381.279551,-11172.623326,3374512
3394126,3402369,6788.252000,6804.738000,-11397.580362,-11096.243940,3394175
3480443,3480477,6960.886000,6960.954000,-11383.825843,-11099.343082,3480477
3488953,3489093,6977.906000,6978.186000,-11387.658407,-11098.169898,3488988
3532530,3532577,7065.060000,7065.154000,-11394.803810,-11083.410912,3532565
3553005,3554207,7106.010000,7108.414000,-11394.627000,-11097.919140,3553048
3555173,3555249,7110.346000,7110.498000,-11395.243295,-11104.631316,3555204
3556341,3556389,7112.682000,7112.778000,-11397.197253,-11130.376494,3556389
3574111,3574236,7148.222000,7148.472000,-11388.082441,-11137.235862,3574140
3600103,3600147,7200.206000,7200.294000,-11379.378506,-11131.255170,3600147
